No.,Player,Pos,Ht,Wt,"Birth Date",Nationality,Exp,College,Team,State,Country
30,"Ochai Agbaji",SG,6/5/2023,215,4/20/2000,us,R,Kansas,"Utah Jazz",Wisconsin,"United States"
16,"Simone Fontecchio",SF,6/8/2023,209,12/9/1995,it,R,,"Utah Jazz",,Italy
20,"Udoka Azubuike",C,6/10/2023,280,9/17/1999,ng,2,Kansas,"Utah Jazz",,Nigeria
10,"Leandro Bolmaro",SG,6/6/2023,200,9/11/2000,ar,1,,"Utah Jazz",,Argentina
25,"Micah Potter  (TW)",PF,6/10/2023,248,4/6/1998,us,1,"Ohio State, Wisconsin","Utah Jazz",Ohio,"United States"
95,"Juan Toscano-Anderson",SF,6/6/2023,209,4/10/1993,us,3,Marquette,"Utah Jazz",California,"United States"
15,"Damian Jones",C,6/11/2023,245,6/30/1995,us,6,Vanderbilt,"Utah Jazz",Louisiana,"United States"
NULL,"Russell Westbrook",PG,6/3/2023,200,11/12/1988,us,14,UCLA,"Utah Jazz",California,"United States"
NULL,"Johnny Juzang  (TW)",SF,6/7/2023,215,3/17/2001,us,R,"Kentucky, UCLA","Utah Jazz",California,"United States"
9,"Deni Avdija",SF,6/9/2023,210,1/3/2001,il,2,,"Washington Wizards",,Israel
21,"Daniel Gafford",C,6/10/2023,234,10/1/1998,us,3,Arkansas,"Washington Wizards",Arkansas,"United States"
33,"Kyle Kuzma",PF,6/9/2023,221,7/24/1995,us,5,Utah,"Washington Wizards",Michigan,"United States"
6,"Kristaps Porzi??is",C,7/3/2023,240,8/2/1995,lv,6,,"Washington Wizards",,Latvia
22,"Monte Morris",PG,6/2/2023,183,6/27/1995,us,5,"Iowa State","Washington Wizards",Michigan,"United States"
24,"Corey Kispert",SF,6/7/2023,220,3/3/1999,us,1,Gonzaga,"Washington Wizards",Washington,"United States"
16,"Anthony Gill",PF,6/7/2023,230,10/17/1992,us,2,"South Carolina, Virginia","Washington Wizards","North Carolina","United States"
5,"Will Barton",SG,6/6/2023,181,1/6/1991,us,10,Memphis,"Washington Wizards",Maryland,"United States"
7,"Jordan Goodwin  (TW)",PG,6/3/2023,200,10/23/1998,us,1,"Saint Louis","Washington Wizards",Illinois,"United States"
67,"Taj Gibson",C,6/9/2023,232,6/24/1985,us,13,USC,"Washington Wizards","New York","United States"
3,"Bradley Beal",SG,6/4/2023,207,6/28/1993,us,10,Florida,"Washington Wizards",Missouri,"United States"
55,"Delon Wright",PG,6/5/2023,185,4/26/1992,us,7,Utah,"Washington Wizards",California,"United States"
1,"Johnny Davis",SG,6/5/2023,196,2/27/2002,us,R,Wisconsin,"Washington Wizards",Wisconsin,"United States"
13,"Vernon Carey Jr.",C,6/9/2023,270,2/25/2001,us,2,Duke,"Washington Wizards",Florida,"United States"
20,"Kendrick Nunn",PG,6/2/2023,190,8/3/1995,us,2,"Illinois, Oakland","Washington Wizards",Illinois,"United States"
14,"Isaiah Todd",PF,6/10/2023,220,10/17/2001,us,1,,"Washington Wizards",Maryland,"United States"
29,"Quenton Jackson  (TW)",PG,6/5/2023,175,9/15/1998,us,R,"Texas A&M","Washington Wizards",California,"United States"
